Country,max,min,aver
Afghanistan   ,10.477777777777778,-2.9,18.24482126489459
Albania   ,22.017818181818182,9.7880658436214,15.785479452054796
Algeria   ,25.22511725796753,12.820783055198973,19.35235666821202
American Samoa [United States],30.213424657534244,25.326575342465752,27.52072727272727
Antarctica   ,-6.335075653370014,-11.712247084027613,-18.504512651461155
Argentina   ,24.353262563303467,9.855744033056054,16.513141972021877
Armenia   ,10.925915492957746,1.4792920353982302,5.542465753424658
Australia   ,25.009780028743236,12.8831455445463,19.23874863473241
Austria   ,12.072251521298174,3.581152574397733,7.469273927392739
Azerbaijan   ,19.52006414825374,11.865573770491803,14.571360715283598
Bahamas   ,30.048962655601663,22.490871369294606,25.643013698630135
Bahrain   ,31.122727272727275,24.01181818181818,27.333698630136986
Bangladesh   ,30.977831454643045,14.415135135135134,25.55882638215325
Belarus   ,10.327522821057897,2.2598555211558304,5.274711065339284
Belgium   ,14.592283950617283,6.979296875,10.175616438356164
Benin   ,33.45981873111783,22.56469933184855,27.37703984819734
Bermuda [United Kingdom] ,24.70650406504065,19.41991869918699,21.94191780821918
Bolivia   ,29.06499416569428,17.746596596596596,23.47096147951364
Bosnia and Herzegovina ,17.297796143250686,8.090225563909774,12.662233549582947
Botswana   ,31.52763948497854,12.928887070376433,23.116386138613862
Brazil   ,30.233918669131235,19.848833210513387,24.686565071624507
Bulgaria   ,17.947282051282052,7.326033519553073,12.676506849315068
Burkina Faso  ,35.49378861788618,22.692304873580063,28.576706458524644
Burma   ,32.20562109646079,21.021347565043364,27.093879976232916
Cameroon   ,32.85630372492837,20.69547511312217,26.118962264150944
Canada   ,8.467462831961035,-1.6939100791689707,-1.17664686512336
Cape Verde  ,28.506651634723788,21.704906542056072,24.498174442190667
Cayman Islands [United Kingdom],30.94787878787879,24.447575757575756,28.071506849315067
Central African Republic ,30.783073496659245,19.638452914798204,24.42706834532374
Chad   ,36.678360655737706,22.017954722872755,30.58933577087142
Chile   ,19.483322559793148,9.210958350181965,14.151889000334336
China   ,13.060022728707619,5.247656008091985,11.53618926324727
Christmas Island [Australia] ,28.421243523316065,23.033179723502304,25.131780821917808
Cocos (Keeling) Islands [Australia],29.32980392156863,24.716216216216218,27.069589041095888
Colombia   ,30.544468724392242,20.156931083425327,24.97071463061323
Congo (Brazzaville)  ,30.791970802919707,20.703147353361945,25.811331704337203
Congo (Kinshasa)  ,31.26407766990291,21.27894736842105,25.838213399503722
Costa Rica  ,31.004773269689736,20.55692124105012,26.219543378995432
Cote D'Ivoire  ,31.86240578836298,22.543645833333333,26.569218061674007
Croatia   ,17.824725274725274,9.495206022187004,14.115890410958903
Cuba   ,30.396587446678854,22.257586837294333,25.880628860190903
Cyprus   ,25.197625570776257,14.499908675799087,20.43095890410959
Czech Republic  ,12.451791944180146,4.258320373250389,7.5766874221668745
Denmark   ,11.267657992565056,5.828024193548387,8.498834818368746
Dominican Republic  ,31.521788283658786,22.467728674203492,27.4410008071025
Ecuador   ,25.65047912388775,15.538546845124284,20.60704686987873
Egypt   ,30.369462884731444,16.746250412950115,23.448044397463
El Salvador  ,31.82775800711744,20.98220640569395,26.680232558139533
Equatorial Guinea  ,31.76666666666667,24.0578125,26.256241032998567
Estonia   ,10.706537121132115,2.8435358998833387,6.929849454922997
Ethiopia   ,26.976637168141593,13.76468253968254,20.49986197377502
Europa Island [France] ,28.559090909090905,22.08551724137931,25.03489010989011
Falkland Islands (Islas Malvinas),11.61256038647343,2.722413793103448,6.605753424657534
Federated States of Micronesia,31.186770747740344,25.28003286770748,27.3431718061674
Fiji   ,30.021537229783824,22.706638566912538,25.650444292549555
Finland   ,8.052429516886498,0.46961397087333473,4.399060563661803
France   ,16.08139388947719,7.714358079346161,11.650828811973806
French Guiana [France] ,31.967226061204343,22.78279301745636,26.195755770662696
French Polynesia  ,27.892998955067917,22.308214461387113,24.949242424242424
French Southern and Antarctic,19.151294820717133,12.07294117647059,15.147435897435898
Gabon   ,30.39095955590801,21.79973509933775,26.184177215189873
Gambia   ,32.6396,20.856474820143884,26.045205479452058
Georgia   ,16.666931479642503,5.708346213292118,12.00282991625758
Germany   ,12.741442305429384,4.660119320789353,9.417145877378434
Ghana   ,32.56454352441614,23.212705882352942,27.800317460317462
Gibraltar [United Kingdom] ,21.641156462585034,16.298360655737703,18.230136986301368
Greece   ,22.36347687400319,13.721932830705963,18.19767680218654
Greenland [Denmark]  ,0.956334766787959,-5.708932461873639,-6.822117794486215
Guam [United States] ,31.195890410958903,25.31972602739726,28.331272727272726
Guinea   ,30.864114832535886,23.679856115107913,27.160769230769233
Guinea-Bissau   ,32.44649446494465,18.1,27.766336633663364
Guyana   ,31.74341085271318,22.23148148148148,26.101017811704832
Honduras   ,31.054545454545455,22.076363636363634,26.6926455566905
Hungary   ,16.848562874251495,7.201031613976705,11.319360730593607
Iceland   ,7.425638841567292,2.4819640252795336,4.825969125214408
India   ,32.10648090053515,20.7590932531156,26.029535018197898
Indonesia   ,31.707154605263156,23.389331507057793,27.19545233725575
Iran   ,25.457735531981932,12.377288368891948,18.8249794501781
Iraq   ,16.85,4.875,26.154929577464788
Ireland   ,13.353737373737374,7.111126233412726,9.883470319634704
Israel   ,26.884565108094517,15.80682414698163,21.21641873278237
Italy   ,19.178938443276245,11.283878814683769,14.615472799277427
Jamaica   ,32.31354330708662,23.92535433070866,27.686712328767122
Jan Mayen [Norway] ,1.9394520547945207,-1.5232876712328767,-0.007344632768361582
Japan   ,18.013816667120416,10.582859825433808,14.782907633180708
Jordan   ,27.352859042553188,13.817735849056604,20.004186046511627
Juan De Nova Island,29.91794871794872,24.433590733590734,26.835802469135803
Kazakhstan   ,14.88015655382161,2.64091600940916,7.949839074460682
Kenya   ,29.878512396694212,19.15481002425222,24.398869701726845
Kiribati   ,31.41551724137931,25.73478260869565,28.45344827586207
Korea North  ,14.204943502824857,3.41063829787234,8.6936784241869
Kuwait   ,30.03262411347518,14.088118811881188,23.056428571428572
Kyrgyzstan   ,15.803238866396763,2.765721784776903,8.795264187866929
Laos   ,32.01027976577749,22.04214195183777,27.184907497565725
Latvia   ,11.194736842105263,3.4593559133814544,7.327732879625691
Lebanon   ,25.318328298086605,14.500503144654086,19.492081031307553
Libya   ,28.57099447513812,16.862222222222222,22.850839865621502
Lithuania   ,11.73621418506341,3.9011247991430102,7.233481152993347
Luxembourg   ,12.704109589041096,5.647397260273973,9.123835616438356
Macau S.A.R  ,26.16511627906977,20.33160173160173,23.09945205479452
Macedonia   ,17.13664739884393,6.532928475033738,11.802841530054645
Madagascar   ,29.001306477953186,18.50737997957099,23.598353552859617
Malawi   ,27.188721804511278,17.730337078651687,24.173303167420816
Malaysia   ,32.242782381160055,23.959724005134788,27.458392694063928
Maldives   ,31.266896551724138,26.2453125,28.826027397260276
Mali   ,34.98904333605887,22.208925399644762,28.133032616238722
Malta   ,23.561609907120744,15.704132231404959,19.38849315068493
Marshall Islands  ,30.79032967032967,26.298241758241755,28.407272727272726
Mauritania   ,35.101489203276245,22.376337880377754,28.681262327416174
Mauritius   ,28.02113617376775,22.205721003134794,25.012465753424657
Mayotte [France]  ,30.178571428571427,24.243589743589745,27.585753424657536
Mexico   ,29.664151267937882,13.30497391561733,22.76136074700802
Moldova   ,16.048837209302327,8.183388704318936,11.121917808219177
Mongolia   ,7.546231433506046,-7.149994701706051,0.6852054794520548
Montenegro   ,19.75702160493827,9.515355805243447,14.571637426900585
Morocco   ,24.110491676345337,12.743889384478145,18.39859271523179
Mozambique   ,28.55423836838751,17.849737072743206,24.145575221238936
Namibia   ,31.5203616636528,13.33159509202454,21.80047709923664
Nepal   ,20.044999999999998,7.921052631578948,14.842857142857142
Netherlands   ,12.828743249877272,6.4357644449919915,9.809205479452055
New Caledonia [France] ,26.592105263157897,20.88888888888889,23.25169014084507
New Zealand  ,18.411101269560085,9.247948951686418,13.142037544821767
Niger   ,37.126498847040736,22.033997211710815,29.422250639386192
Nigeria   ,32.268101265822786,22.75,27.77767379679144
Niue [New Zealand] ,28.763157894736842,21.275675675675675,25.101470588235294
Norfolk Island [Australia] ,20.330000000000002,14.95,18.77123287671233
Norway   ,8.431463642013673,1.5281737691722934,4.449474605954466
Oman   ,31.400297659315385,22.80457705677868,26.12637376237624
Pakistan   ,25.458863706923317,10.844610875936178,23.013417074255223
Papua New Guinea ,30.663043478260867,24.459722222222222,28.052786624203822
Paraguay   ,30.54752354907323,17.045471014492755,23.430743191260195
Peru   ,25.91204,15.060459255110612,21.184438263019626
Philippines   ,30.915060670949323,23.14027027027027,27.043080429827416
Poland   ,12.484019370460048,4.209762773722628,8.602767123287672
Portugal   ,21.43049762543878,13.706474215246638,17.097798507462688
Qatar   ,33.89424460431655,24.54698275862069,28.484383561643835
Reunion [France]  ,27.971217712177122,20.529378531073444,24.204657534246575
Romania   ,15.716780777677304,5.923001786777844,10.596606954689147
Russia   ,4.995262177028299,-3.4684494237792123,0.8356984077125669
Rwanda   ,27.90734463276836,16.265034965034964,21.557534246575344
Saint Pierre and Miquelon,10.780927835051546,4.811855670103093,6.453150684931506
Saudi Arabia  ,30.916071134529886,18.375329341317364,25.67170439414115
Senegal   ,35.83097463284379,22.43758865248227,28.256623735050596
Serbia   ,18.48118721461187,8.331050228310502,13.05159817351598
Seychelles   ,30.246153846153845,24.75205479452055,27.605205479452053
Sierra Leone  ,31.49230769230769,23.6,26.863897763578272
Singapore   ,31.36993006993007,24.4164,27.737260273972602
Slovakia   ,14.2218070273285,4.109741784037558,9.668424657534247
Slovenia   ,14.491807096862583,5.39113698630137,5.451917808219178
Solomon Islands  ,31.667888307155323,23.245744680851065,26.800414937759335
South Africa  ,25.64682555445217,10.388414373306716,16.862359046642748
South Korea  ,18.09882772680938,9.537426900584794,13.69915317559153
Spain   ,19.26789882334107,8.942765960893583,16.13985788113695
Sri Lanka  ,29.551986596457635,22.234713024282563,25.689509848831882
Sudan   ,37.57488139825218,22.228155038759688,29.86481620405101
Suriname   ,32.373306772908364,22.3,26.17369863013699
Svalbard [Norway]  ,-1.2138356164383561,-5.701780821917808,-3.467123287671233
Swaziland   ,26.355050505050503,14.986428571428572,21.509972299168975
Sweden   ,8.895614938318053,0.3692398414271556,5.834314227226203
Switzerland   ,11.493006134969324,3.951231060606061,7.385074626865672
Syria   ,26.508955223880598,14.3816091954023,20.006917475728155
Tajikistan   ,19.867017465293326,9.489046773238602,11.650367024280069
Tanzania   ,30.01489361702128,18.85123595505618,24.544531864673484
Thailand   ,33.07438952536825,23.16470091247043,27.680204965534067
Togo   ,33.616372391653286,22.429411764705883,27.678393213572853
Trinidad and Tobago ,32.57291666666667,23.19236111111111,27.275274725274727
Tromelin Island [France] ,29.194849785407722,24.145945945945947,26.40685714285714
Tunisia   ,26.019197952218427,14.3072708113804,20.097197802197805
Turkey   ,19.482970363718007,8.933042834826933,14.479406765721805
Turkmenistan   ,24.433369957620467,11.9833170350088,17.67528478731074
Ukraine   ,14.73389289392379,5.7476137211036535,10.396022808951077
United Arab Emirates ,34.01357702349869,22.482801822323463,28.43118574366004
United Kingdom  ,12.905276996453466,6.006935488944107,9.245389982556691
United States  ,16.706090536587865,4.2804264260477485,8.246143315450551
Uruguay   ,24.34398773006135,11.640546697038724,18.21672223647089
Uzbekistan   ,21.891034681249103,8.826907775768536,14.999455833966085
Vanuatu   ,29.637479178234315,21.583907326236695,25.769065077910177
Venezuela   ,33.08456591639872,22.695484685822542,27.527693952714742
Vietnam   ,28.777332225223354,22.203084911423336,25.150586611456177
Wallis and Futuna [France],30.42753846153846,24.859154929577464,27.304389574759945
Zambia   ,30.855072463768117,14.3,25.610055865921787
Zimbabwe   ,26.025333333333332,12.776376988984088,19.612825458052075
